Nom_Estadio,Nom_equip
Nuevo Colombino,Rec. Huelva
Ramon Sanchez-Pizjuan,Sevilla
San Mames,Ath. Bilbao
Camp Nou,Barcelona
RCDE Stadium,Espanyol
Santiago Bernabeu,Real Madrid
Nova Creu Alta,Sabadell
Municipal de Badalona,Badalona
Estadio Metropolitano,At. Madrid
Suarez Puerta,Aviles
,Villafranca
Municipal El Molinon,Sporting Gijon
,Besain
,Santfeliuenc
La Mina,Carabanchel
Riazor,Dptivo. Coruna
Nou Sardenya,Europa
Benito Villamarin,Betis
El Malecon,Torrelavega
Nueva Condomina,Murcia
Municipal de Anoeta,Real Sociedad
,Portugalete
Ciudad de Valencia,Levante
Camp Nou Municipal,Reus
,Getxo
Nuevo Mirador,Algeciras
Ramon de Carranza,Cadiz
,Luarca
Les Tolves,Titanico
Municipal,Linense
,Icodense
,Garachico
Heliodoro Rodriguez Lopez,Tenerife
El Sardinero,Rac. Santander
Artunduaga,Basconia
,Deusto
El Mazo,Haro
,Dptivo. Coruna B
Nou Estadi,Gimn. Tarragona
Jose Rico Perez,Hercules
,Cayon
,R.U. Tenerife
Stadium Gal,Real Union
,Erandio
,Siero
,Lealtad
Son Moix,Mallorca
,Contestano
,Pumarin
La Cueva,Pilonesa
Lasesarre,Barakaldo
,Elgoibar
Hermanos Antuna,Caudal
,Santutxu
,Durango
,Lutxana
,Acero
Cartagonova,Cartagena F.C.
Municipal de Vilatenim,Figueres
Principe Felipe,Cacereno
Mestalla,Valencia
A Malata,Ferrol
Balear,At. Baleares
,Capellades
El Sadar,Osasuna
Pepico Amat,Eldense
Mendizorroza,Alaves
Castalia,Castellon
El Toralin,Ponferradina
Martinez Valero,Elche
Virgen de las Nieves,Tenisca
Nuevo Silvestre Carrillo,Mensajero
,Tolosa
,Velez
,Gernika
,Astur
Municipal Reino de Leon,Cult. Leonesa
Balaidos,Celta
Campo de Futbol de Vallecas,Rayo Vallecano
Merkatondoa,Izarra
Narcis Sala,Sant Andreu
,Amorebieta
Carlos Tartiere,Oviedo
Municipal de Anduva,Mirandes
Jose Zorrilla,Valladolid
Municipal de Butarque,Leganes
El Collao,Alcoyano
,Carrion
Jose del Cuvillo,Portuense
,Calavera
La Victoria,Jaen
,Oviedo Vetusta
Municipal de Montilivi,Girona
Alfredo Di Stefano,Real Madrid B
Nuevo Los Carmenes,Granada
,Puerto Real
Miramar,Luanco
La Romareda,Zaragoza
Antonio Dominguez Alfonso,Marino
Carlos Belmonte,Albacete
Pasaron,Pontevedra
Ipurua,Eibar
Paterna,Valencia B
Nuevo Los Pajaritos,Numancia
Estadio de la Ceramica,Villarreal
Municipal de Chapin,Xerez
Pedro Escartin,Guadalajara
Miguel Prieto,Granada B
Ciudad de Puertollano,Puertollano
La Rosaleda,Malaga (C.D.)
Gran Canaria,Las Palmas
Viejo Nervion,Sevilla B
Anxo Carro,Lugo
Nuevo Arcangel,Cordoba
Nou Estadi de Palamos,Palamos
Alfonso Murube,Ceuta
El Alcoraz,Huesca
,Langreo
Cerro del Espino,At. Madrid B
,Ath. Bilbao B
Las Gaunas,Logrones (U.D.)
Mini Estadi,Barcelona B
Santo Domingo,Alcorcon
Municipal de Montilla,Montilla
Cerro del Espino,Rayo Majadahonda
,Alboraya
Coliseum Alfonso Perez,Getafe
,Getafe B
,Burgos (Real)
Juegos Mediterraneos,Almeria
Municipal de El Plantio,Burgos (C.F.)
Cartagonova,Cartagena
Las Llanas,Sestao River
,Alcorcon B
La Condomina,UCAM Murcia
Multiusos de San Lazaro,Compos
Francisco de la Hera,Extremadura (U.D.)
Las Gaunas,Logrones (S.D.)
Olimpic de Terrassa,Tarrasa Olimpica
Camp d'Esports,Lleida Espiritu
Nuevo Vivero,Badajoz (C.D.)
Municipal de Chapin,Xerez (F.C.)
,Unionistas
Romano,Merida (A.D.)
,Exiles
Desconocido,Rio Tinto
,Cricket y Foot-Ball Club
Desconocido,Malaga English Clubn 7
Desconocido,Athleta Club de Astilleros del Nervion
Desconocido,Foot-Ball Club Barcelona
Desconocido,Gran Canary Foot-Ball Club
Desconocido,Las Palmas Foot-Ball Club
Desconocido,Asociacion de Football de Torello
,Veloz Sport Balear
Desconocido,Sociedad de Juegos al Aire Libre
,New Foot-Ball Club
,Association Sportive Amicale
,Palamos Club de Futbol
,Català Sport Club
Desconocido,Hispania Athletic Club
Campo de Lamiaco,Bilbao Foot-Ball Club
Expda. de la Pza. de Toros,Club Espanol de Madrid *
Campo de Moncloa,Moncloa Foot-Ball Club
Desconocido,Retiro Foot-Ball Club
Campo del Hipodromo,Moderno Foot-Ball Club
Explanada de El Bibio,Gijon Sport Club
Desconocido,Hispania Foot-Ball Club
Desconocido,Victoria Foot-Ball Club
Desconocido,Union Vizcaina
Desconocido,Universidad de Deusto Foot-Ball Club
Desconocido,Iberia Foot-Ball Club
Desconocido,Sport Foot-Ball Club
Desconocido,Internacional Foot-Ball Club
Desconocido,Boston Foot-Ball Club
Desconocido,Nacional Foot-Ball Club
Desconocido,Vizcaya Foot-Ball Clubn 8
Desconocido,Hispania Foot-Ball Club
Desconocido,Malaga Foot-Ball Club
Desconocido,Club Foot-Ball Segoviano
Desconocido,Asociacion Asturiana de Foot-Ball
,Zaragoza Foot-Ball Club
Desconocido,Oviedo Foot-Ball Club
,Vigo Foot-Ball Club
,Real Club Coruna
Desconocido,Juventud Deportiva Gijonesa
Desconocido,Sport Club Avilesino
,Sporting Club Lucentino
,San Sebastian Recreation Club
,Club Gimnastico
,Club Deportivo Gran Canaria
Nuevo Vivero,Badajoz
Desconocido,New Sporting Club
,Real Club Fortuna de Vigo
,Foot-Ball Club Valencia
Desconocido,Iris Foot-Ball Club
Desconocido,Club Sportivo Internacional
Desconocido,Espanol Foot-Ball Club
Olimpico de Tarrasa,Terrasa
,Real Sociedad Gimnastica Espanola
,Xerez Futbol Club
,San Sebastian Foot-Ball Club
,Alicante Recreation Club
,Gimnastico Foot-Ball Club
,Foot-Ball Club Cabanal
,Espanol Foot-Ball Club
,Sporting Club
,Real Vigo Sporting Club
,Foot-Ball Club Malagueno
Desconocido,Club Deportivo Norte
,Union Sporting Club
Desconocido,Club Nuevo Fomento Oriental
,Racing Club de Madrid
,Sestao
,Iberia
,Alicante
,A.D. Ferroviaria
Romano,Merida
Las Gaunas,Logrono
El Plantio,Burgos
Desconocido,Imperio
Helmantico,Salamanca
Estadio de la Ceramica,Villarreal E y D
Desconocido,Nacional de Madrid
Francisco de la Hera,Extremadura
Desconocido,Getafe Foot-Ball Club
,Zaragoza Club Deportivo
,Compostela Club de Futbol
,Real Club Deportivo Cordoba
,Castilla Foot-Ball Club
La Rosaleda,Club Deportivo Malaga
,Club Deportivo Condal
Camp d'Esports,Lleida
Estadio Las Gaunas,Logrones
Riazor,Club Deportivo Juvenil
Desconocido,Eibar Foot-Ball Club
,Club Getafe Deportivo
O Couto,Ourense
,Madrid C
Multiusos de San Lazaro,Compostela
Mini Estadi,Barcelona C
Santo Domingo,Ejido
,Almeria (A.D.)
Romano,Merida
Francisco Artes Carrasco,Lorca
,Granada 74
,Real Stadium Club Ovetense
,Real Club Deportivo Oviedo
,Club Deportivo Espanol
,Real Union Deportiva